#date,category,value
14/10/2019,Food & Drinks,-8.41
14/10/2019,Friends & Family,15
13/10/2019,Food & Drinks,-2.29
12/10/2019,Food & Drinks,-4.95
11/10/2019,Food & Drinks,-2.81
11/10/2019,Food & Drinks,-0.17
11/10/2019,Electricity,-147
11/10/2019,Food & Drinks,-20.29
10/10/2019,Food & Drinks,-15.5
10/10/2019,Friends & Family,15
09/10/2019,Food & Drinks,-5.68
08/10/2019,Food & Drinks,-2.45
08/10/2019,Food & Drinks,-1.58
07/10/2019,Food & Drinks,-6.04
06/10/2019,Food & Drinks,-2.00
06/10/2019,Food & Drinks,-0.25
06/10/2019,Toys & Electronics,300
05/10/2019,Food & Drinks,-6.05
05/10/2019,Food & Drinks,-6.05
04/10/2019,Work,120.54
04/10/2019,Entertainment,-180
04/10/2019,Food & Drinks,-1.24
04/10/2019,Medical & Insurances,-5
04/10/2019,Medical & Insurances,-276
04/10/2019,Food & Drinks,-3.9
03/10/2019,Food & Drinks,-1.16
03/10/2019,Food & Drinks,-7.94
